Comune;Provincia;Denominazione sito;Indirizzo;Numero civico;ID Anagrafe
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA FRASSINETTI;Frassinetti;25;9485
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA FREIKHOFEL;Freikhofel;26;16445
MILANO;CITTA' METROPOLITANA DI MILANO;Area di Via Gallarate 263-265-267-269-271-273-275;Gallarate;-;12957
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA GASTONE DA FOIX;Gastone da Foix/Attendolo Muzio Sforza;;14085
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA GIUDICE DONADONI;Giudice Donadoni;6;15531
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIALE FORLANINI;Forlanini;65/75;14446
MILANO;CITTA' METROPOLITANA DI MILANO;Area di Via le Toscana - ex Vetreria Lusvardi;Toscana;13;10365
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA MASINA;Masina;5;16327
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA MIRAMARE;Miramare;10;15511
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA PASTORELLI;Pastorelli;19;16386
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA PIAZZALE DELLO SPORT;Via Piazzale dello Sport;12;15514
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA PRINCIPE EUGENIO 1, 3, 5;Principe Eugenio;1,3,5;13347
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA RIZZARDI;Fratelli Rizzardi;45;14836
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA RIZZOLI;Rizzoli;;14130
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA SALA;Sala;12;9946
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA TORINO, PALLA, LUPETTA;Torino, Palla, Lupetta;;15512
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA TREBAZIO 4;Trebazio;4;15528
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA VARESINA 60;Varesina;60;16448
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA VIPACCO 38;Vipacco;38;15460
MILANO;CITTA' METROPOLITANA DI MILANO;AREA EX COSTANTE SESINO S.p.A.;DOBERDO';28;3933
MILANO;CITTA' METROPOLITANA DI MILANO;AREA EX ENEL - ISOLATO 2;Bramante;49;15894
MILANO;CITTA' METROPOLITANA DI MILANO;AREA EX FAEMA;VENTURA;15;2556
MILANO;CITTA' METROPOLITANA DI MILANO;AREA EX FIERA contractor TRE TORRI;-;-;4191
MILANO;CITTA' METROPOLITANA DI MILANO;AREA EX IVI PPG POLITECNICO;La Masa;17 -20;15874
MILANO;CITTA' METROPOLITANA DI MILANO;Area Ex LUCEPLAN S.p.a.;Moneta;46;6424
MILANO;CITTA' METROPOLITANA DI MILANO;Area EXPO 2015;Milano-Rho;;15007
MILANO;CITTA' METROPOLITANA DI MILANO;Area ex Senesi;Oslavia;21;7631
MILANO;CITTA' METROPOLITANA DI MILANO;AREA EX SILBAR;ANDREA PONTI;5;3877
MILANO;CITTA' METROPOLITANA DI MILANO;AREA EX SQUEO;CUOCO E V.LE PUGLIE;;3950
MILANO;CITTA' METROPOLITANA DI MILANO;AREA EX STAZIONE DI PORTA VITTORIA - SETTORE UCP5, UCP3 e BEIC;-;-;3949
MILANO;CITTA' METROPOLITANA DI MILANO;AREA EX TESSITURA ROSINA;Privata Antonio da Saluzzo;5;12846
MILANO;CITTA' METROPOLITANA DI MILANO;AREA EX TIBB MILANO;LODI;3;2589
MILANO;CITTA' METROPOLITANA DI MILANO;AREA GARIBALDI REPUBBLICA - PARCO FONDAZIONE CATELLASOCIETA' IN.G.RE. S.C.R.L.;GAETANO DE CASTILLIA;28;5395
MILANO;CITTA' METROPOLITANA DI MILANO;AREA GARIBALDI REPUBBLICA - PARCO FONDAZIONE CATELLASOCIETA' IN.G.RE. S.C.R.L.;GAETANO DE CASTILLIA;28;5396
MILANO;CITTA' METROPOLITANA DI MILANO;AREA IDEA SRL;Orsini;11;13986
MILANO;CITTA' METROPOLITANA DI MILANO;Area industriale dismessa;Pichi;15;15450
MILANO;CITTA' METROPOLITANA DI MILANO;Area industriale dismessa;VEZZA D'OGLIO;8;2639
MILANO;CITTA' METROPOLITANA DI MILANO;AREA INDUSTRIALE DISMESSA - ADAMELLO S.A.S.;TACITO;8;3704
MILANO;CITTA' METROPOLITANA DI MILANO;Area industriale dismessa - Ex S.I.S.;ISARCO;2;15252
MILANO;CITTA' METROPOLITANA DI MILANO;AREA INTERMEDRI;PANTELLERIA;4;3953
MILANO;CITTA' METROPOLITANA DI MILANO;AREA  ISTITUTO FARMACEUTICO MARIO NEGRI;Eritrea angolo Via De Pisis-Via Aldini;62, 9;16326
MILANO;CITTA' METROPOLITANA DI MILANO;"AREA I.T.I.S. ""GIORGI""";liguria;21;3707
MILANO;CITTA' METROPOLITANA DI MILANO;AREA LACERENZA;Alessandro Litta Modignani;112/114;14433
MILANO;CITTA' METROPOLITANA DI MILANO;AREA LA PIAZZA - EX PATTERSON PIRELLI - BICOCCA;;;2703
MILANO;CITTA' METROPOLITANA DI MILANO;AREA MAIN WALL;Varesina;91;13247
MILANO;CITTA' METROPOLITANA DI MILANO;Area nuova sede Regione Lombardia;Melchiorre Gioia;-;4256
MILANO;CITTA' METROPOLITANA DI MILANO;AREA PARCO U3 - Garibaldi Repubblica;Gioia/Liberazione;;16387
MILANO;CITTA' METROPOLITANA DI MILANO;AREA PII ISOLA-LUNETTA;De Castillia;14/16;14084
MILANO;CITTA' METROPOLITANA DI MILANO;AREA PIRELLI;CAVIGLIA;3;2695
MILANO;CITTA' METROPOLITANA DI MILANO;Area Pirelli Bicocca-Collina dei Ciliegi;Sarca;136;276
MILANO;CITTA' METROPOLITANA DI MILANO;AREA PROPRIETA BOCCONI;Bligny;22;15736
MILANO;CITTA' METROPOLITANA DI MILANO;AREA PUNTO VENDITA Q8;RONCHI;21;3732
MILANO;CITTA' METROPOLITANA DI MILANO;AREA RAGIT;CHIASSERINI;68;3874
MILANO;CITTA' METROPOLITANA DI MILANO;AREA SERBATOIO C/O STABILE;Ippodromo- p.le dello Sport;134;12634
MILANO;CITTA' METROPOLITANA DI MILANO;AREA SERVIZIO 2527;Muggiano est;;16130
MILANO;CITTA' METROPOLITANA DI MILANO;Area Sexta srl;Monviso;17;15169
MILANO;CITTA' METROPOLITANA DI MILANO;Area Via Arrighi;Arrighi;19;4403
MILANO;CITTA' METROPOLITANA DI MILANO;AREA Via Boezio;Boezio;20;16431
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA BRUNI Monomilano;Bruni;10;12506
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA BRUZZESI ANGOLO GIAMBELLINO;Bruzzesi/angolo Giambellino;36;15316
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA CALABRIA ANGOLO VIA CANTONI;Calabria angolo Cantoni;0;11829
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA CARLO TORRE;Carlo Torre;39/41;16526
MILANO;CITTA' METROPOLITANA DI MILANO;Area Via Concilio Vaticano II e Via Cascina dei Prati;Concilio Vaticano II e Via Cascina dei Prati;-;8227
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA DEI MOCENIGO;dei Mocenigo;7/9;11386
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA DON MINZONI 27-29;Don Minzoni;27-29;15458
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA E.T.MONETA mappale 219;Moneta;;15725
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA G. DA CERMENATE;G.da Cermenate;38;15524
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA INGANNI;Inganni;12;16311
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA LOMELLINA;Lomellina;28;15733
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA LUNIGIANA SOFIBI SRL;Lunigiana;39;12400
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA MANTEGNA 6;Mantegna;6;15264
MILANO;CITTA' METROPOLITANA DI MILANO;Area Via Pellizzone 4;Pellizzone;4;16407
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA PEZZOTTI;Pezzotti;6;15629
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA ROVELLO;Rovello;14/16;15718
MILANO;CITTA' METROPOLITANA DI MILANO;Area Via Rubattino;Rubattino;84;4387
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA SAVONA 25;Savona;25;15147
MILANO;CITTA' METROPOLITANA DI MILANO;Area Via Terzaghi;Terzaghi;-;4317
MILANO;CITTA' METROPOLITANA DI MILANO;Area via  Verne 1;Verne;1;12958
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VOLTRI/DI RUDINI;Voltri-Di Rudini;;15852
MILANO;CITTA' METROPOLITANA DI MILANO;ATM NUOVO DEPOSITO TRANVIARIO DI PRECOTTO linea 1 Metropolitana;ANASSAGORA;11;3884
MILANO;CITTA' METROPOLITANA DI MILANO;B.G.T Impresa di costruzioni srl;Cola di Rienzo;12;12398
MILANO;CITTA' METROPOLITANA DI MILANO;BROGGI EGIDIO snc;GENTILINO;13/A;3839
MILANO;CITTA' METROPOLITANA DI MILANO;Carrozzeria Alfieri;Bertini;19;16631
MILANO;CITTA' METROPOLITANA DI MILANO;CASA DI CURA CAPITANIO - dismissione serbatoi;MERCALLI;30;3873
MILANO;CITTA' METROPOLITANA DI MILANO;CASCINA PALMA;Rogoredo;16;13466
MILANO;CITTA' METROPOLITANA DI MILANO;CEMAR S.a.s.;Lombroso;54;4360
MILANO;CITTA' METROPOLITANA DI MILANO;CO FI SE, SOCIETA' ITALIANA CALZATURE SPA;MECENATE;76;3111
MILANO;CITTA' METROPOLITANA DI MILANO;COMPARTO EX  PHARMACIA;Imbonati;24;14126
MILANO;CITTA' METROPOLITANA DI MILANO;CONDOMINI DI VIA TERAMO;TERAMO, 9/10 - 5/6 - 3/4;;3910
MILANO;CITTA' METROPOLITANA DI MILANO;CONDOMINIO DI VIA LIUTPRANDO;Liutprando;9;14838
MILANO;CITTA' METROPOLITANA DI MILANO;DEPOSITO AUTOMAROCCHI SPA - SHELL ITALIA;DELLA CHIESA ROSSA;277;2521
MILANO;CITTA' METROPOLITANA DI MILANO;DISTRIBUTORE API;BASSINI;35;2541
MILANO;CITTA' METROPOLITANA DI MILANO;EFFEPIUNO S.r.l.;FANTOLI;6;3717
MILANO;CITTA' METROPOLITANA DI MILANO;ELECTROCLEANING S.r.l.;MELI;30;3966
MILANO;CITTA' METROPOLITANA DI MILANO;ESSO ITALIANA SRL;PONTE NUOVO;15;3084
MILANO;CITTA' METROPOLITANA DI MILANO;EX ANSALDO;SARCA;336;6460
MILANO;CITTA' METROPOLITANA DI MILANO;Ex area industriale La Forgiatura;Varesina;;8244
MILANO;CITTA' METROPOLITANA DI MILANO;EX ARRIGO PINI;Verro;21;15457
MILANO;CITTA' METROPOLITANA DI MILANO;EX  AUSCHEM;DE NOTARIS;;2512
MILANO;CITTA' METROPOLITANA DI MILANO;Ex Calchi e Taeggi e Carmagnani,  ex cava Geregnano tra le vie: Lorenteggio, Gonin, Giordani e Bisceglie;Gonin;36;2229
MILANO;CITTA' METROPOLITANA DI MILANO;EX CARROZZERIA BELVEDERE;San Bernardo;22;10969
MILANO;CITTA' METROPOLITANA DI MILANO;ex cava Lucchini;;;274
MILANO;CITTA' METROPOLITANA DI MILANO;EX DEPOSITO OLI MINERALI;PADOVA;401;3823
MILANO;CITTA' METROPOLITANA DI MILANO;ex Distillerie Lombarde di Catrame, CASCINA ROSSA SRL;Cosenz;54;130
MILANO;CITTA' METROPOLITANA DI MILANO;EX FELTRINELLI;lambruschini;33;9770
MILANO;CITTA' METROPOLITANA DI MILANO;ex Ferriera Redaelli Società Milano Santa Giulia;ROGOREDO;7;128
MILANO;CITTA' METROPOLITANA DI MILANO;EX F.M.C;Pitteri;8;10672
MILANO;CITTA' METROPOLITANA DI MILANO;EX FONDERIE VEDANI;Schievano;7;9287
MILANO;CITTA' METROPOLITANA DI MILANO;ex INDUSTRIE CHIMICHE MEOTTI;Richard;24;9311
MILANO;CITTA' METROPOLITANA DI MILANO;ex MAGGIONI;FORLANINI;23;131
MILANO;CITTA' METROPOLITANA DI MILANO;EX NEOBIT - 2;San Faustino;46;13932
MILANO;CITTA' METROPOLITANA DI MILANO;Ex pompe Peroni;delle Forze Armate;310/5 314;14527
MILANO;CITTA' METROPOLITANA DI MILANO;EX PUNTO VENDITA API;rucellai;50;3730
MILANO;CITTA' METROPOLITANA DI MILANO;EX PUNTO VENDITA COLORI IP - CENTRAL NORD GAS S.r.l.;RONCAGLIA;12/14;4127
MILANO;CITTA' METROPOLITANA DI MILANO;EX P.V.  2227 TAMOIL ITALIA SPA;CASSINIS;14;2831
MILANO;CITTA' METROPOLITANA DI MILANO;Ex P.V. 8482 Tamoil Piazzale Farina;Farina;15;8917
MILANO;CITTA' METROPOLITANA DI MILANO;EX P.V. COLORI TAMOIL;DE SANCTIS;11/A;3927
MILANO;CITTA' METROPOLITANA DI MILANO;Ex PV di Via Sabaudia 4 società Sperati Attilio e C. carburanti Lubrificanti;Sabaudia;4;15366
MILANO;CITTA' METROPOLITANA DI MILANO;EX PV Q8 N. 1156;Lorenteggio;243;15509
MILANO;CITTA' METROPOLITANA DI MILANO;ex Schlumberger;SAVONA;97;134
MILANO;CITTA' METROPOLITANA DI MILANO;EX SIAPI;Bressan;29/31;15428
MILANO;CITTA' METROPOLITANA DI MILANO;EX STAZIONE DI PORTA VITTORIA - SETTORE RESIDENZIALE;CENA;;3941
MILANO;CITTA' METROPOLITANA DI MILANO;EX TENAX - FLEXA SIS ORA AREA R.O.M.A.;COLICO;3/5;14306
MILANO;CITTA' METROPOLITANA DI MILANO;FONDAZIONE E.A FIERA INTERNAZIONALE  DI MILANO AREA CERNIERA;c/o Polo Fiera Milano;;15248
MILANO;CITTA' METROPOLITANA DI MILANO;Immobile in Via S. Sandri, 1;Sandro Sandri;1;11229
MILANO;CITTA' METROPOLITANA DI MILANO;IMMOBILIARE CRISTALLO;Lorenteggio;246;16310
MILANO;CITTA' METROPOLITANA DI MILANO;IMMOBILIARE FANTI SRL;Mezzofanti;11;15627
MILANO;CITTA' METROPOLITANA DI MILANO;IMMOBILIARE FOLLI;Folli;24/30;12399
MILANO;CITTA' METROPOLITANA DI MILANO;INIZIATIVE INDUSTRIALI MILANO S.P.A., AREA MAGNAGHI AEROSPACE SPA;STAMIRA D'ANCONA;27;2825
MILANO;CITTA' METROPOLITANA DI MILANO;MAGNIFICAE DOMUS S.r.l. - AREA EX OFFICINE MECCANICHE SACERDOTI;BREDA;120;4125
MILANO;CITTA' METROPOLITANA DI MILANO;MAX MAYER-DUCO, PPG Industries Italia Srl;COMASINA;121;2568
MILANO;CITTA' METROPOLITANA DI MILANO;METROPOLITANA 5 - DEPOSITO MARINO;Fulvio Testi;329;9446
MILANO;CITTA' METROPOLITANA DI MILANO;METROPOLITANA M5 POZZO PONALE-BIGNAMI;isola bignami;;10691
MILANO;CITTA' METROPOLITANA DI MILANO;METROPOLITANA MILANESE M5 AREA  PI ISOLA-LUNETTA;Garibaldi-Isola;;9431
MILANO;CITTA' METROPOLITANA DI MILANO;MILANOSERRAVALLE - MILANOTANGENZIALI;A51 TANG. EST MILANO;';3586
MILANO;CITTA' METROPOLITANA DI MILANO;MILANO VIA CONCONI 7 -AREA C;Conconi;7;13567
MILANO;CITTA' METROPOLITANA DI MILANO;nosedo, ex discarica Porto di Mare;San Arialdo;;129
MILANO;CITTA' METROPOLITANA DI MILANO;NUOVO DEPOSITO AUTOBUS ATM;MARIGNANO;;3977
MILANO;CITTA' METROPOLITANA DI MILANO;OFFICINE METALLURGICHE BROGGI S.p.A.;LAMBRUSCHINI;4;3770
MILANO;CITTA' METROPOLITANA DI MILANO;Ospedale Maggiore Policlinico di Milano, Riqualificazione area LOTTO 1B;Sforza;28/25;13936
MILANO;CITTA' METROPOLITANA DI MILANO;Ospedale Niguarda Cà Granda, dismissione impianto produttivo;dell'Ospedale Maggiore;3;4401
MILANO;CITTA' METROPOLITANA DI MILANO;PALAZZINA DI VIA TIBALDI;Tibaldi;28;14426
MILANO;CITTA' METROPOLITANA DI MILANO;Penta Costruzioni S.r.l.;Binda;16;5564
MILANO;CITTA' METROPOLITANA DI MILANO;PIANO FAMAGOSTA-MAGGI-PALATUCCI-DEL MARE proprietà IRIS SRL;Famagosta-maggi-palatucci-del mare;;11708
MILANO;CITTA' METROPOLITANA DI MILANO;PICCARDINO S.r.l.;COLUMELLA;16;3972
MILANO;CITTA' METROPOLITANA DI MILANO;PII EX CARTIERE BINDA -LOTTO U4;Alzaia Naviglio Pavese;260;13847
MILANO;CITTA' METROPOLITANA DI MILANO;"PII Santa Giulia - ""Montecity-Rogoredo"" proprietà Milano Santa Giulia s.p.a.";Bonfadini;148;13350
MILANO;CITTA' METROPOLITANA DI MILANO;PPG  INDUSTRIES - AREA NORD E AREA SUD;La Masa;19,20;137
MILANO;CITTA' METROPOLITANA DI MILANO;PRU Pompeo Leoni/pietrasanta area ex Pirelli;Ripamonti;88;2222
MILANO;CITTA' METROPOLITANA DI MILANO;PUNTO VENDITA AGIP 54367;GALLARATE;391;3771
MILANO;CITTA' METROPOLITANA DI MILANO;PUNTO VENDITA AGIP N. 2523;FANTOLI;18;3734
MILANO;CITTA' METROPOLITANA DI MILANO;PUNTO VENDITA IP 2348;REMBRANDT;70;3960
MILANO;CITTA' METROPOLITANA DI MILANO;PUNTO VENDITA SHELL N. 49491;DE GASPERI;2/4;3885
MILANO;CITTA' METROPOLITANA DI MILANO;PV 1302, TOTAL FINA ELF ITALIA SPA;BACCHIGLIONE;21;3092
MILANO;CITTA' METROPOLITANA DI MILANO;PV 575, ESSO ITALIANA SRL;MECENATE - ANGOLO VIA FANTOLI;95;3081
MILANO;CITTA' METROPOLITANA DI MILANO;P.V.  ACI - ANG. VIA TRAIANO;ACCURSIO;;3408
MILANO;CITTA' METROPOLITANA DI MILANO;P.V. AGIP 2246;TOSCANA - Largo Beethoven;;3957
MILANO;CITTA' METROPOLITANA DI MILANO;P.V. AGIP N 12310;CADUTI DEL LAVORO;;2756
MILANO;CITTA' METROPOLITANA DI MILANO;P.V. AGIP N. 55673;GALLARATE;40;3954
MILANO;CITTA' METROPOLITANA DI MILANO;P.V. AGIP PETROLI. Punto vendita n.2118;BELFANTI;;2584
MILANO;CITTA' METROPOLITANA DI MILANO;PV CARBURANTI BEYFIN;Ripamonti;483;16087
MILANO;CITTA' METROPOLITANA DI MILANO;P.V. ERG MI192;S. Rita da Cascia;60;4357
MILANO;CITTA' METROPOLITANA DI MILANO;PV ESSO 0081;Leoncavallo;25;5577
MILANO;CITTA' METROPOLITANA DI MILANO;P.V. ESSO 0175;Marochetti;142;8307
MILANO;CITTA' METROPOLITANA DI MILANO;P.V ESSO 0302;Fulvio Testi;200;9433
MILANO;CITTA' METROPOLITANA DI MILANO;PV ESSO 2136;Arzaga angolo Benedettini;20;14552
MILANO;CITTA' METROPOLITANA DI MILANO;P.V. ESSO 2137;LORENTEGGIO;272;3754
MILANO;CITTA' METROPOLITANA DI MILANO;PV IP 43873;Rembrandt;25;8105
MILANO;CITTA' METROPOLITANA DI MILANO;P.V. Q8 1176;SANTA RITA DA CASCIA;41;4120
MILANO;CITTA' METROPOLITANA DI MILANO;P.V. SHELL 49274;CHIESA ROSSA;157;2758
MILANO;CITTA' METROPOLITANA DI MILANO;P.V. SHELL 49.489;CECHOV;44;2755
MILANO;CITTA' METROPOLITANA DI MILANO;RFI  - CENTRO SMISTAMENTO;Cima;20;16329
MILANO;CITTA' METROPOLITANA DI MILANO;Scuola comunale via Colonna 42 - serbatoio interrato;Vittoria Colonna;42;16412
MILANO;CITTA' METROPOLITANA DI MILANO;SIEMENS SPA;Vipiteno;4;13934
MILANO;CITTA' METROPOLITANA DI MILANO;SIEMENS SPA;Vipiteno;4;15250
MILANO;CITTA' METROPOLITANA DI MILANO;Sito di Via Gattamelata 34, rimozione serbatoio;Gattamelata;30-34;15871
MILANO;CITTA' METROPOLITANA DI MILANO;SITO INDUSTRIALE DISMESSO;Monti Sabini;10/9;10307
MILANO;CITTA' METROPOLITANA DI MILANO;Società Sviluppo Linate area ex Montedison Via Candiani;Candiani  ang. Bovisasca;;139
MILANO;CITTA' METROPOLITANA DI MILANO;società TRIANTO, AREA EX ARCHIFAR;Trivulzio;18;271
MILANO;CITTA' METROPOLITANA DI MILANO;S.P. COSTRUZIONI;S. ELEMBARDO;7;3766
MILANO;CITTA' METROPOLITANA DI MILANO;STABILE DI PROPRIETA' ALER;NEERA;7;3738
MILANO;CITTA' METROPOLITANA DI MILANO;Stabile - dismissione serbatoio;Sally Mayer;6;10646
MILANO;CITTA' METROPOLITANA DI MILANO;STABILE PROPRIETA' ALER;NEERA;11;3887
MILANO;CITTA' METROPOLITANA DI MILANO;Stabile - rimozione serbatoio;macedonio melloni;34;3703
MILANO;CITTA' METROPOLITANA DI MILANO;STABILIMENTO MILANO BROLLO - MARCEGAGLIA S.p.A.;SARCA;336;3929
MILANO;CITTA' METROPOLITANA DI MILANO;TORRE EVAPORATIVA - PIRELLI & C. PROJECT MANAGEMENT;PIRELLI;;3719
MILANO;CITTA' METROPOLITANA DI MILANO;TURRI SAS;Toffetti;19;15626
MILANO;CITTA' METROPOLITANA DI MILANO;VASCA AECOM ex Renault;Certosa;144;15166
MORIMONDO;CITTA' METROPOLITANA DI MILANO;AREA EX SIECAM S.r.l.;PER CASELLE;10;4079
NERVIANO;CITTA' METROPOLITANA DI MILANO;CAVA CRESPI /PINI, Pharmacia & Upjohn, La Murrina ex Garboli Rep, ora FOI Srl;loc. BRERA, VIA LA GUARDIA;1;2472
NERVIANO;CITTA' METROPOLITANA DI MILANO;Ditta Fratelli Della Vedova & C. snc;Ticino, 47;;150
NOVATE MILANESE;CITTA' METROPOLITANA DI MILANO;Area Ex Aiaste;Cavour;59;4482
NOVATE MILANESE;CITTA' METROPOLITANA DI MILANO;AREA EX STABILIMENTO TRIULZI;VIALBA;56;3473
OPERA;CITTA' METROPOLITANA DI MILANO;AREA EX PROTER - Proprietà  RECORDATI S.P.A. - NUOVA VALLAMBROSIA - ora FARMAOPERA SPA;LAMBRO;38;126
OPERA;CITTA' METROPOLITANA DI MILANO;Centro Stoccaggio Rifiuti SVR;Romagna;-;4878
OSSONA;CITTA' METROPOLITANA DI MILANO;SINISTRO DEL 05.07.04 Sp 34 km 4+650;EUROPA INCROCIO CON VIALE RIMEMBRANZE;-;4002
PADERNO DUGNANO;CITTA' METROPOLITANA DI MILANO;Area ex ENIRISORSE S.p.A.;Statale dei Giovi n. 5;-;5638
PADERNO DUGNANO;CITTA' METROPOLITANA DI MILANO;DISCARICA EX SNIA FIBRE, E AREA INDUSTRIALE NYLSTAR, CON VAREDO;DEI GIOVI KM 138;;2345
PADERNO DUGNANO;CITTA' METROPOLITANA DI MILANO;ELDAP S.r.l. area ex Tonolli;cesare beccaria;18;8809
PARABIAGO;CITTA' METROPOLITANA DI MILANO;Ex depuratore di Villastanza;Volturno;-;5899
PERO;CITTA' METROPOLITANA DI MILANO;CARBOTERMO SPA;TURATI;25;2579
PERO;CITTA' METROPOLITANA DI MILANO;PERO NORD- AUTOSTRADA A4;A4;;13566
PESCHIERA BORROMEO;CITTA' METROPOLITANA DI MILANO;AEROPORTO LINATE SITO RAM3;AEROPORTO;;9165
PESCHIERA BORROMEO;CITTA' METROPOLITANA DI MILANO;CARBODOLL s.r.l;F.LLI BANDIERA;21;3251
PESCHIERA BORROMEO;CITTA' METROPOLITANA DI MILANO;CENTRALI PRODUTTORI LATTE LOMBARDIA S.P.A.;2 GIUGNO;15;3212
PESCHIERA BORROMEO;CITTA' METROPOLITANA DI MILANO;DEPOSITI HUB EX AGIP A ED EX ESSO;AEROPORTO DI MILANO LINATE;;3532
PESCHIERA BORROMEO;CITTA' METROPOLITANA DI MILANO;DEPOSITO HUB EX AGIP PETROLI B;AEROPORTO DI MILANO LINATE;;2696
PESCHIERA BORROMEO;CITTA' METROPOLITANA DI MILANO;RAI Rifornimenti Aeroporti Italiani ex RAM - deposito RAI1;Linate;-;15190
PESCHIERA BORROMEO;CITTA' METROPOLITANA DI MILANO;Stabilimento SIRPI S.p.a.;Grandi;8;4882
PIEVE EMANUELE;CITTA' METROPOLITANA DI MILANO;KM 5, AUTOSPED S.A.S.;28 KM 5;;2765
PIEVE EMANUELE;CITTA' METROPOLITANA DI MILANO;P.V. ERG MI391, Via Amendola ang. Via Fizzonasco;Via Amendola ang. Via Fizzonasco;-;4541
PIOLTELLO;CITTA' METROPOLITANA DI MILANO;Incidente 8 aprile 2004, Strada Rivoltana km 3+900;Rivoltana;-;4615
POGLIANO MILANESE;CITTA' METROPOLITANA DI MILANO;Ditta Marbo Italia S.p.a.;Tasso;25/27;5700
PREGNANA MILANESE;CITTA' METROPOLITANA DI MILANO;AGIP PETROLI SPA, AREA DEPOSITO;VANZAGO;4;2586
PREGNANA MILANESE;CITTA' METROPOLITANA DI MILANO;DEPOSITO KUWAIT;LOMBARDIA;38;2764
RESCALDINA;CITTA' METROPOLITANA DI MILANO;DITTA COLOMBO SPA;GRIGNA;32;2357
RHO;CITTA' METROPOLITANA DI MILANO;AGIP PETROLI SPA, FRAZIONE LUCERNATE;LUCERNATE;;2582
RHO;CITTA' METROPOLITANA DI MILANO;Area Ex Muggiani;Volta/Torino;-;4839
RHO;CITTA' METROPOLITANA DI MILANO;CAMBIAGHI S.P.A.;SESIA;8/12;2628
RHO;CITTA' METROPOLITANA DI MILANO;Cava TERRAZZANO;;;174
RHO;CITTA' METROPOLITANA DI MILANO;CROMATURA RHODENSE;SENNA;11;2763
RHO;CITTA' METROPOLITANA DI MILANO;DEPOSITO AGIP PETROLI SpA;PREGNANA;103;2886
RHO;CITTA' METROPOLITANA DI MILANO;FOSFANTARTIGLIO-LEI;LIVENZA;15;177
RHO;CITTA' METROPOLITANA DI MILANO;Immob. EDERA S.r.l. e IPR, ex  area ACNA, ex Chimica Bianchi;MOLINO NUOVO/VALLASSA - VIA MAGENTA,;77;178
RHO;CITTA' METROPOLITANA DI MILANO;INCIDENTE DEL 26 LUGLIO 2010;dei Fontanili;0;16187
RODANO;CITTA' METROPOLITANA DI MILANO;SOC. LABONI SRL;Kennedy;1;15589
ROZZANO;CITTA' METROPOLITANA DI MILANO;Area Mappale 117 foglio 1;Monta Bianco;60/a;15150
ROZZANO;CITTA' METROPOLITANA DI MILANO;CENTRO COMMERCIALE FIORDALISO, SHELL ITALIA SPA;CURIEL;25;2408
ROZZANO;CITTA' METROPOLITANA DI MILANO;P.V. ESSO ITALIANA Srl n°0881;LOMBARDIA;38/A;2862
SAN DONATO MILANESE;CITTA' METROPOLITANA DI MILANO;Area De Gasperi Ovest;-;-;6840
SAN DONATO MILANESE;CITTA' METROPOLITANA DI MILANO;ex AGL, PIRELLI CAVI & SISTEMI SpA;PARRI;2;2870
SAN DONATO MILANESE;CITTA' METROPOLITANA DI MILANO;PUNTO VENDITA AGIP N. 2290;SAN DONATO EST DIREZIONE BO-MI;;4070
SAN GIORGIO SU LEGNANO;CITTA' METROPOLITANA DI MILANO;EX CHICO SNC;Einstein;0;10427
SAN GIULIANO MILANESE;CITTA' METROPOLITANA DI MILANO;BIELPE SPA - PUNTO VENDITA CARBURANTI;SILVIO PELLICO - FRAZIONE SESTO ULTERIANO;;3525
