Comune;Provincia;Denominazione sito;Indirizzo;Numero civico;ID Anagrafe;CampoUnivoco;                                                                                                                                                                 ##
GALLARATE;VARESE;"area ""ex Officine del gas""";Matteotti;3;4373;29;                                                                                                                                                                                  ##
GALLARATE;VARESE;Ex area industriale Cucirini Ardea;Bergamo;5/7;9871;30;                                                                                                                                                                              ##
GALLARATE;VARESE;TIFITEX SRL;ADIGE;12;3359;31;                                                                                                                                                                                                        ##
GAVIRATE;VARESE;P.V. Ex IP 6474;1 località Voltorre;-;5133;32;                                                                                                                                                                                       ##
GERENZANO;VARESE;Discarica di Gerenzano;;;88;33;                                                                                                                                                                                                      ##
GORLA MINORE;VARESE;POZZO CARBOFUEL;;;3699;34;                                                                                                                                                                                                        ##
LAVENA PONTE TRESA;VARESE;COMPLESSO EDILIZIO TRESA PLASTIC-CNS1 COMPARTO 9A;Zanzi;;13996;35;                                                                                                                                                          ##
LAVENO-MOMBELLO;VARESE;Area ex Ceramica Lago;De Angeli;s.n.c.;7403;36;                                                                                                                                                                                ##
LAVENO-MOMBELLO;VARESE;CERAMICA INDUSTRIALE DI LAVENO VERBANO COOP.  a.r.l.  - ex RICHARD GINORI;XXV Aprile;;97;37;                                                                                                                                   ##
LAVENO-MOMBELLO;VARESE;DISTRIBUTORE CARBURANTI;Reno;;15146;38;                                                                                                                                                                                        ##
LONATE POZZOLO;VARESE;CANTIERE EX TESSITURA SOLBIATI;Giordano e Giassi loc.S.Antonino;;11248;39;                                                                                                                                                      ##
LONATE POZZOLO;VARESE;Ex Fonderia Bottarini;S. Pellico;-;7945;40;                                                                                                                                                                                     ##
LONATE POZZOLO;VARESE;PV AGIP 2872;"572 ""Bustese""";-;5202;41;                                                                                                                                                                                       ##
LUINO;VARESE;Area di compostaggio, località Cucco di Voldomino;Gorizia;-;6427;42;                                                                                                                                                                    ##
MALNATE;VARESE;AREA EX RONCORONI MOLE ED EX SIOME;1° MAGGIO E VIA MACAZZOLA;;3680;43;                                                                                                                                                                ##
MALNATE;VARESE;AREA EX SIOME, IMMOBILIARE OLMO;GORIZIA;;3197;44;                                                                                                                                                                                      ##
MALNATE;VARESE;Cava CATTANEO;COMO;1;109;45;                                                                                                                                                                                                           ##
MALNATE;VARESE;Cava Maccecchini;Maccecchini;;10165;46;                                                                                                                                                                                                ##
MARNATE;VARESE;Area stoccaggio rifiuti;Trento;;5058;47;                                                                                                                                                                                               ##
MORNAGO;VARESE;"ex ""Galstaff Multiresine"" ora ""Hickson Coasting S.r.l.""";STAZIONE;90;2190;48;                                                                                                                                                     ##
OGGIONA CON SANTO STEFANO;VARESE;Area Ex Tansini;Ronchetti;-;7650;49;                                                                                                                                                                                 ##
ORIGGIO;VARESE;CLARIANT LSM ITALIA S.P.A.;EUROPA;5;2892;50;                                                                                                                                                                                           ##
RANCO;VARESE;CAMPO SPORTIVO COMUNALE;QUASSA;;3297;51;                                                                                                                                                                                                 ##
SARONNO;VARESE;AREA DISMESSA EX STAMPERIA ITALIANA TESSUTI S.r.l. - proprietà GRANDI MARCHE FRANCESI Srl;SAMPIETRO;8;3694;52;                                                                                                                        ##
SARONNO;VARESE;AREA IMMOBILIARE G.B. SARONNO SPA ex-Isotta Fraschini;MILANO;11;3363;53;                                                                                                                                                               ##
SARONNO;VARESE;"Area industriale dismessa ""exManifattura Ceramica Pozzi"" - soc. I.R.I.D. Srl";Balasso;11;2262;54;                                                                                                                                   ##
SARONNO;VARESE;Area Industriale dismessa -  MECFIN S.P.A.;MILANO;7;2793;55;                                                                                                                                                                           ##
SARONNO;VARESE;AREA INDUSTRISALE DISMESSA;Sampietro;1;13846;56;                                                                                                                                                                                       ##
SARONNO;VARESE;AREA PROPRIETA' PRIVATA;Raffaello Sanzio;14;16627;57;                                                                                                                                                                                  ##
SARONNO;VARESE;AREA VIA ROMA;Roma;58;16567;58;                                                                                                                                                                                                        ##
SARONNO;VARESE;CANTIERE CEMSA SPA-EX DE NORA SPAISI - INVESTIMENTO SVILUPPO IMMOBILIARE SRL;FERRARI;;2356;59;                                                                                                                                         ##
SARONNO;VARESE;EX TINTORIA SARONNESE;Bainsizza;;15288;60;                                                                                                                                                                                             ##
SARONNO;VARESE;IMMOBILIARE MARCONI SRL EX PARMA ANTONIO E FIGLI SPA;MARCONI;75;3289;61;                                                                                                                                                               ##
